,inside_and_reverb,inside_and_reverb_denoised,outside_and_wind,outside_and_wind_denoised,inside_and_low_volume,inside_and_low_volume_denoised,music_background,music_background_denoised
WER,0.0,0.022,0.009,0.28,0.408,0.62,0.027,0.054
CER,0.0,0.008,0.006,0.136,0.274,0.373,0.009,0.018
